player_id,name,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9
forsl001,Logan Forsythe,0.59216475,0.6523468,0.5358735,0.45262563,0.47099382,0.5555884,0.59488916,0.48014492,0.44447884
fowld001,Dexter Fowler,0.44519705,0.5236394,0.5008515,0.5995561,0.5337241,0.609221,0.47444147,0.56175613,0.5267358
franj004,Jeff Francoeur,0.5679876,0.4317167,0.50706005,0.45331895,0.46743146,0.44726464,0.5402289,0.46795183,0.5108903
franj005,Juan Francisco,0.49694,0.44303477,0.5603535,0.6792944,0.54745275,0.48604703,0.44094414,0.51234746,0.42545745
frank001,Kevin Frandsen,0.5278289,0.45407975,0.46035188,0.3189393,0.39262208,0.47692755,0.55116826,0.48510006,0.55396414
franm004,Maikel Franco,0.49895912,0.5436092,0.52885556,0.43898767,0.5270516,0.43420732,0.5176892,0.44706646,0.4344633
frann001,Nick Franklin,0.564678,0.5244593,0.5896276,0.6488411,0.57738674,0.5683917,0.40268156,0.5427816,0.5601516
frazt001,Todd Frazier,0.5512587,0.5820158,0.59597033,0.48119402,0.53027666,0.4226071,0.5530438,0.43366578,0.48988804
freed001,David Freese,0.52134734,0.50996405,0.5213757,0.47588524,0.44757333,0.5725004,0.62054706,0.56323826,0.39946115
freef001,Freddie Freeman,0.49247336,0.52299476,0.49802044,0.6234712,0.7192472,0.6109153,0.49743548,0.5109617,0.52251935
fulds001,Sam Fuld,0.39060396,0.49815935,0.40272462,0.5241154,0.40737078,0.5725925,0.3309791,0.5987098,0.51792103
galvf001,Freddy Galvis,0.5735661,0.45664525,0.46747482,0.45814902,0.49094084,0.5755874,0.40244687,0.5045337,0.5530067
garca003,Avisail Garcia,0.57073045,0.4644304,0.50418055,0.43510017,0.46625006,0.54064995,0.57057697,0.54698277,0.35523754
garca004,Adonis Garcia,0.5273506,0.44026005,0.48417458,0.40022558,0.46668658,0.49645847,0.55878687,0.520298,0.46044174
garcg002,Greg Garcia,0.47633553,0.503564,0.44730854,0.54156536,0.5384549,0.4847787,0.42487717,0.5289979,0.5041424
gardb001,Brett Gardner,0.4360567,0.50899506,0.42078623,0.5818087,0.5156347,0.53759,0.39244807,0.46505308,0.4957912
gatte001,Evan Gattis,0.54600996,0.46481675,0.61740196,0.4473593,0.5320245,0.38077426,0.5093985,0.4768298,0.4587143
genns001,Scooter Gennett,0.50127226,0.34266597,0.43626502,0.44280857,0.5772861,0.46765193,0.45041233,0.4275753,0.52823037
gentc001,Craig Gentry,0.46816745,0.54838425,0.44311988,0.46483037,0.3396958,0.47611645,0.53928626,0.43158227,0.50679606
giavj001,Johnny Giavotella,0.4342753,0.5440179,0.4528361,0.36334014,0.37538436,0.5138857,0.5550253,0.49369758,0.54541886
gillc001,Conor Gillaspie,0.4840912,0.48071498,0.47289068,0.5187008,0.6176828,0.5725787,0.4065271,0.51550055,0.5676856
gillc002,Cole Gillespie,0.4668644,0.4889777,0.47357106,0.42127168,0.40366748,0.56207436,0.5395949,0.5682561,0.497341
gimec001,Chris Gimenez,0.4914894,0.55049634,0.57280445,0.47485793,0.4232048,0.46850222,0.5358085,0.50878495,0.45940292
goinr001,Ryan Goins,0.43708184,0.39399794,0.35078865,0.56046045,0.42642853,0.46626845,0.44188464,0.5265538,0.56998974
goldp001,Paul Goldschmidt,0.4537236,0.5806161,0.5886559,0.52141225,0.62558913,0.5783766,0.6527884,0.51930434,0.3281798
gomec002,Carlos Gomez,0.4687678,0.5165348,0.54447716,0.4940863,0.45286822,0.46108377,0.50726163,0.38059267,0.41760197
gomej001,Jonny Gomes,0.55836225,0.61238766,0.5001617,0.6188852,0.4819304,0.4171195,0.5397245,0.439813,0.51328886
gomey001,Yan Gomes,0.5772763,0.45538574,0.59151983,0.44967896,0.5272818,0.51954854,0.5944329,0.40719187,0.49277425
gonza003,Adrian Gonzalez,0.492593,0.4823594,0.5314244,0.5373257,0.7255662,0.54196465,0.42596135,0.50510144,0.52498955
gonzc001,Carlos Gonzalez,0.42434168,0.3914081,0.5781415,0.5666373,0.6067847,0.4311582,0.4177852,0.53925234,0.4283045
gonzm002,Marwin Gonzalez,0.4728215,0.43491688,0.43987536,0.47359747,0.4531632,0.4893697,0.44651225,0.46283445,0.5343783
gorda001,Alex Gordon,0.46474764,0.5072371,0.46389556,0.5805961,0.6386585,0.602566,0.40147012,0.47321197,0.47525516
gordd002,Dee Gordon,0.440627,0.3653072,0.24407592,0.46431285,0.35892162,0.37311926,0.39711028,0.40619886,0.45091906
gosea001,Anthony Gose,0.43938163,0.40881884,0.31479728,0.63685715,0.41609362,0.4021107,0.46031556,0.4949716,0.47097874
goset001,Tuffy Gosewisch,0.5520965,0.46505374,0.4915991,0.39088127,0.43620697,0.4867319,0.47627342,0.48371953,0.49082944
gossp001,Phil Gosselin,0.45707303,0.4517817,0.48155347,0.43611312,0.43193015,0.581167,0.5358803,0.56858015,0.44838834
granc001,Curtis Granderson,0.45277384,0.5642736,0.6257537,0.6377314,0.6063437,0.64380074,0.39733046,0.5361128,0.5766674
grany001,Yasmani Grandal,0.46233132,0.5377177,0.5044405,0.61873597,0.5456207,0.47418138,0.46191192,0.5896802,0.46938932
greeg002,Grant Green,0.53200126,0.4285537,0.5853646,0.45113918,0.37055933,0.5532399,0.5449661,0.43935424,0.50210893
gregd001,Didi Gregorius,0.5135437,0.50712436,0.43901348,0.4778215,0.5170682,0.55208933,0.398067,0.48761964,0.5453721
gricr001,Randal Grichuk,0.5860001,0.51305926,0.58424854,0.5263688,0.44872633,0.3970697,0.57822233,0.35515973,0.42401096
grosr001,Robbie Grossman,0.47442442,0.54463255,0.4916172,0.5999135,0.48116067,0.56198955,0.48907137,0.53448725,0.54236776
gutif001,Franklin Gutierrez,0.5366066,0.5211879,0.6264658,0.5081697,0.5082816,0.3629345,0.61485314,0.402551,0.38103753
guyeb001,Brandon Guyer,0.48579174,0.6034298,0.43949717,0.4554068,0.36279637,0.46177477,0.5230855,0.38142362,0.48485896
guzmj005,Jesus Guzman,0.5823483,0.5976391,0.5721358,0.5332003,0.44255093,0.3698855,0.56930906,0.4699722,0.52836525
gyorj001,Jedd Gyorko,0.56776536,0.5457042,0.6274978,0.49837157,0.48896304,0.44916272,0.6014021,0.47179967,0.54697657
hamib001,Billy Hamilton,0.4853955,0.49168533,0.3835085,0.49085295,0.3364185,0.48882988,0.36376178,0.40992063,0.58806354
hamij003,Josh Hamilton,0.556681,0.4509008,0.4971421,0.6079486,0.6645704,0.55327064,0.42673486,0.48996583,0.5008016
hanir001,Ryan Hanigan,0.50690544,0.6191455,0.5191817,0.44156957,0.4561084,0.5229802,0.53847337,0.58579874,0.54826444
hardj003,J.J. Hardy,0.5751735,0.5025542,0.50345606,0.40043312,0.48929027,0.4356255,0.54755455,0.517776,0.54077184
harpb003,Bryce Harper,0.43684307,0.5102303,0.49369282,0.62283695,0.6874776,0.5101178,0.49442008,0.5469352,0.41486862
harrj002,Josh Harrison,0.47158545,0.46730062,0.52929246,0.38235372,0.44201922,0.47938058,0.597282,0.35556462,0.5684136
headc001,Chase Headley,0.4896625,0.50294054,0.5139141,0.57939833,0.5605628,0.55157167,0.47258875,0.5333262,0.54238665
hecha001,Adeiny Hechavarria,0.46708176,0.43581194,0.44534588,0.3790812,0.3168702,0.62497455,0.5484837,0.5878078,0.49527535
heisc001,Chris Heisey,0.4527361,0.49987406,0.53829074,0.51578987,0.39174622,0.35121763,0.4767495,0.37968057,0.5600548
heltt001,Todd Helton,0.50101393,0.50938076,0.535359,0.5771719,0.6701209,0.48972392,0.46551946,0.52599853,0.584145
